Time,PACKAGED ROOFTOP AIR CONDITIONER:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER:Des Sens Cool Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:Des Heat Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:Des Cool Mass Flow [kg/s],PACKAGED ROOFTOP AIR CONDITIONER 1:Des Heat Cap [W],PACKAGED ROOFTOP AIR CONDITIONER 1:Des Sens Cool Cap [W] 
00:10:00,3.792695E-01,2.725100E-01,2.286673E+04,3.227134E+03,2.271692E-01,1.362550E-01,1.369638E+04,1.613567E+03 
00:20:00,3.804755E-01,2.725100E-01,2.293945E+04,3.198381E+03,2.279938E-01,1.362550E-01,1.374609E+04,1.599191E+03 
00:30:00,3.816472E-01,2.725100E-01,2.301009E+04,3.169629E+03,2.287869E-01,1.362550E-01,1.379391E+04,1.584814E+03 
00:40:00,3.827902E-01,2.725100E-01,2.307900E+04,3.140876E+03,2.295539E-01,1.362550E-01,1.384015E+04,1.570438E+03 
00:50:00,3.839091E-01,2.725100E-01,2.314646E+04,3.112124E+03,2.302989E-01,1.362550E-01,1.388507E+04,1.556062E+03 
01:00:00,3.850075E-01,2.725100E-01,2.321269E+04,3.083371E+03,2.310255E-01,1.362550E-01,1.392888E+04,1.541686E+03 
01:10:00,3.862958E-01,2.725100E-01,2.329036E+04,3.064203E+03,2.318526E-01,1.362550E-01,1.397875E+04,1.532101E+03 
01:20:00,3.875675E-01,2.725100E-01,2.336703E+04,3.045034E+03,2.326655E-01,1.362550E-01,1.402776E+04,1.522517E+03 
01:30:00,3.888245E-01,2.725100E-01,2.344282E+04,3.025866E+03,2.334660E-01,1.362550E-01,1.407602E+04,1.512933E+03 
01:40:00,3.900682E-01,2.725100E-01,2.351780E+04,3.006698E+03,2.342555E-01,1.362550E-01,1.412362E+04,1.503349E+03 
01:50:00,3.912997E-01,2.725100E-01,2.359205E+04,2.987529E+03,2.350351E-01,1.362550E-01,1.417063E+04,1.493765E+03 
02:00:00,3.925200E-01,2.725100E-01,2.366562E+04,2.968361E+03,2.358059E-01,1.362550E-01,1.421710E+04,1.484180E+03 
02:10:00,3.937298E-01,2.725100E-01,2.373857E+04,2.953984E+03,2.365686E-01,1.362550E-01,1.426308E+04,1.476992E+03 
02:20:00,3.949297E-01,2.725100E-01,2.381091E+04,2.939608E+03,2.373238E-01,1.362550E-01,1.430861E+04,1.469804E+03 
02:30:00,3.961202E-01,2.725100E-01,2.388269E+04,2.925232E+03,2.380720E-01,1.362550E-01,1.435372E+04,1.462616E+03 
02:40:00,3.972989E-01,2.725100E-01,2.395376E+04,2.910856E+03,2.388115E-01,1.362550E-01,1.439831E+04,1.455428E+03 
02:50:00,3.984668E-01,2.725100E-01,2.402417E+04,2.896479E+03,2.395430E-01,1.362550E-01,1.444241E+04,1.448240E+03 
03:00:00,3.996249E-01,2.725100E-01,2.409399E+04,2.882103E+03,2.402674E-01,1.362550E-01,1.448609E+04,1.441052E+03 
03:10:00,4.007738E-01,2.725100E-01,2.416326E+04,2.867727E+03,2.409853E-01,1.362550E-01,1.452937E+04,1.433863E+03 
03:20:00,4.019139E-01,2.725100E-01,2.423200E+04,2.853350E+03,2.416970E-01,1.362550E-01,1.457228E+04,1.426675E+03 
03:30:00,4.030454E-01,2.725100E-01,2.430022E+04,2.838974E+03,2.424028E-01,1.362550E-01,1.461483E+04,1.419487E+03 
03:40:00,4.041714E-01,2.725100E-01,2.436811E+04,2.824598E+03,2.431051E-01,1.362550E-01,1.465717E+04,1.412299E+03 
03:50:00,4.052915E-01,2.725100E-01,2.443564E+04,2.810222E+03,2.438036E-01,1.362550E-01,1.469929E+04,1.405111E+03 
04:00:00,4.064049E-01,2.725100E-01,2.450277E+04,2.795845E+03,2.444979E-01,1.362550E-01,1.474115E+04,1.397923E+03 
04:10:00,4.075115E-01,2.725100E-01,2.456949E+04,2.786261E+03,2.451878E-01,1.362550E-01,1.478274E+04,1.393131E+03 
04:20:00,4.086112E-01,2.725100E-01,2.463579E+04,2.776677E+03,2.458733E-01,1.362550E-01,1.482407E+04,1.388338E+03 
04:30:00,4.097040E-01,2.725100E-01,2.470168E+04,2.767093E+03,2.465543E-01,1.362550E-01,1.486514E+04,1.383546E+03 
04:40:00,4.107899E-01,2.725100E-01,2.476715E+04,2.757509E+03,2.472310E-01,1.362550E-01,1.490593E+04,1.378754E+03 
04:50:00,4.118688E-01,2.725100E-01,2.483220E+04,2.747924E+03,2.479031E-01,1.362550E-01,1.494645E+04,1.373962E+03 
05:00:00,4.129408E-01,2.725100E-01,2.489683E+04,2.738340E+03,2.485708E-01,1.362550E-01,1.498671E+04,1.369170E+03 
